what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347335976
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347337227
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347338349
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.delete",1371347341605
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347341798
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347343728
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347345041
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1371347345635
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1371347345812
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1371347346294
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1371347346592
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.undo",1371347346932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347347721
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347348166
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347363460
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347365888
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347369365
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347376302
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347379004
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347380681
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347382803
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347399386
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347403363
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347404076
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347427512
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347429092
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347435601
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347435994
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347464437
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347466522
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347470295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347485562
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347486485
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347488724
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371347492399
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371347494068
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347495295
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347498007
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347500503
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1371347501728
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1371347501932
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347502432
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371347506941
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347508072
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347509749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347520050
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347554067
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347561550
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347583546
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347614686
activated,view,org.eclipse.ui.ide,3.7.0.v20110809-1737,"org.eclipse.ui.views.ResourceNavigator",1371347614703
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347616749
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347649502
opened,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347649675
activated,editor,org.eclipse.jdt.ui,3.7.1.r371_v20110824-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1371347649775
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347710816
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347723257
deactivated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347724142
activated,workbench,org.eclipse.ui.workbench,3.7.0.I20110519-0100,"",1371347727211
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347735350
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.smartEnter",1371347741104
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347745067
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371347747586
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347752722
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347766247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347791078
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.select.lineStart",1371347798305
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371347800089
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347803191
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110505-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371347803601
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347807247
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347865887
executed,command,org.eclipse.ui,3.7.0.I20110602-0100,"org.eclipse.ui.file.save",1371347877319
